GTFS sto_id,Stop Name,Year,Day Type,Boardings,Alightings,,,,,,,,,,,,
349,DORCHESTER AVE @ HOYT ST,FY2017,Weekday,6,11,,,,,,,,,,,,
350,DORCHESTER AVE @ DEWAR ST,FY2017,Weekday,0,0,,,,,,,,,,,,
351,DORCHESTER AVE @ SAVIN HILL A,FY2017,Weekday,6,9,,,,,,,,,,,,
352,DORCHESTER AVE @ BELFORT ST,FY2017,Weekday,4,3,,,,,,,,,,,,
353,DORCHESTER AVE @ ROMSEY ST,FY2017,Weekday,4,5,,,,,,,,,,,,
354,DORCHESTER AVE @ CRESCENT AVE,FY2017,Weekday,1,12,,,,,,,,,,,,
355,DORCHESTER AVE @ COLUMBIA RD,FY2017,Weekday,4,7,,,,,,,,,,,,
357,DORCHESTER AVE @ LOCUST ST,FY2017,Weekday,1,3,,,,,,,,,,,,
358,DORCHESTER AVE OPP HOWELL ST,FY2017,Weekday,1,1,,,,,,,,,,,,
359,DORCHESTER AVE @ KEMP ST,FY2017,Weekday, -   ,5,,,,,,,,,,,,
362,COLUMBIA RD @ HOLDEN ST,FY2017,Weekday,160,101,,,,,,,,,,,,
367,TALBOT AVE @ DORCHESTER AVE,FY2017,Weekday,324,26,,,,,,,,,,,,
369,TALBOT AVE @ WELLES AVE,FY2017,Weekday,185,36,,,,,,,,,,,,
371,TALBOT AVE @ CENTRE ST,FY2017,Weekday,521,330,,,,,,,,,,,,
372,TALBOT AVE @ SOUTHERN AVE,FY2017,Weekday,270,69,,,,,,,,,,,,
373,TALBOT AVE @ SPENCER ST,FY2017,Weekday,157,72,,,,,,,,,,,,
374,TALBOT AVE @ NORWELL ST,FY2017,Weekday,125,62,,,,,,,,,,,,
375,TALBOT AVE @ BERNARD ST,FY2017,Weekday,125,87,,,,,,,,,,,,
376,TALBOT AVE @ KERWIN ST,FY2017,Weekday,91,73,,,,,,,,,,,,
378,TALBOT AVE @ NIGHTINGALE ST,FY2017,Weekday,44,158,,,,,,,,,,,,
381,BLUE HILL AVE @ WALES ST,FY2017,Weekday,255,142,,,,,,,,,,,,
382,BLUE HILL AVE @ CHARLOTTE ST,FY2017,Weekday,200,153,,,,,,,,,,,,
383,BLUE HILL AVE @ ELLINGTON ST,FY2017,Weekday,658,468,,,,,,,,,,,,
384,BLUE HILL AVE @ PASADENA RD,FY2017,Weekday,210,121,,,,,,,,,,,,
385,BLUE HILL AVE @ CASTLEGATE RD,FY2017,Weekday,244,293,,,,,,,,,,,,
386,WARREN ST @ SUNDERLAND ST,FY2017,Weekday,535,212,,,,,,,,,,,,
387,WARREN ST @ INTERVALE ST,FY2017,Weekday,260,137,,,,,,,,,,,,
388,WARREN ST @ GASTON ST,FY2017,Weekday,292,166,,,,,,,,,,,,
390,WARREN ST @ QUINCY ST,FY2017,Weekday,652,359,,,,,,,,,,,,
392,WARREN ST @ MAYWOOD ST,FY2017,Weekday,402,364,,,,,,,,,,,,
393,WARREN ST @ WOODBINE ST,FY2017,Weekday,348,170,,,,,,,,,,,,
394,WARREN ST @ WAVERLY ST,FY2017,Weekday,300,151,,,,,,,,,,,,
395,WARREN ST @ WHITING ST,FY2017,Weekday,80,124,,,,,,,,,,,,
396,WARREN ST @ MORELAND ST,FY2017,Weekday,97,102,,,,,,,,,,,,
397,DORCHESTER AVE @ ASHMONT BUSW,FY2017,Weekday, -   ,3,,,,,,,,,,,,
399,WARREN ST OPP KEARSAGE AVE,FY2017,Weekday,325,120,,,,,,,,,,,,
401,WARREN ST @ WALNUT AVE,FY2017,Weekday,117,126,,,,,,,,,,,,
404,WARREN ST OPP WAVERLY ST,FY2017,Weekday,199,321,,,,,,,,,,,,
405,WARREN ST OPP WOODBINE ST,FY2017,Weekday,262,402,,,,,,,,,,,,
406,WARREN ST @ ML KING BLVD,FY2017,Weekday,441,369,,,,,,,,,,,,
407,WARREN ST @ TOWNSEND ST,FY2017,Weekday,535,507,,,,,,,,,,,,
410,WARREN ST @ WAUMBECK ST,FY2017,Weekday,193,322,,,,,,,,,,,,
411,WARREN ST @ BRUNSWICK ST,FY2017,Weekday,146,225,,,,,,,,,,,,
412,WARREN ST @ CRAWFORD ST,FY2017,Weekday,355,530,,,,,,,,,,,,
413,BLUE HILL AVE @ WAYNE ST,FY2017,Weekday,211,276,,,,,,,,,,,,
414,BLUE HILL AVE @ SEAVER ST,FY2017,Weekday,93,179,,,,,,,,,,,,
