Stop #,Stop Name,Year,Day Type,Boardings,Alightings
309,DORCHESTER AVE @ THORNLEY RD,FY2018,Weekday,3,3
312,AUCKLAND ST @ DEWAR ST,FY2018,Weekday,6,8
317,DORCHESTER AVE @ HANCOCK ST,FY2018,Weekday,5,2
318,DORCHESTER AVE @ LINDEN ST,FY2018,Weekday,4,3
319,DORCHESTER AVE @ ELLET ST,FY2018,Weekday,20,14
320,DORCHESTER AVE @ ADAMS ST,FY2018,Weekday,4,8
322,GENEVA AVE OPP VINSON ST,FY2018,Weekday,15,62
323,FIELDS CORNER STATION @ RED L,FY2018,Weekday,"1,413","1,480"
325,PARK ST BUSWAY @ DORCHESTER A,FY2018,Weekday,78,96
326,DORCHESTER AVE OPP GIBSON ST,FY2018,Weekday,3,1
327,DORCHESTER AVE @ MELVILLE AVE,FY2018,Weekday,0,1
328,1621 DORCHESTER AVE OPP DIX S,FY2018,Weekday,4,3
329,DORCHESTER AVE @ CENTRE ST,FY2018,Weekday,6,8
330,DORCHESTER AVE @ CHEVERUS RD,FY2018,Weekday,1,6
331,DORCHESTER AVE OPP SHEPTON ST,FY2018,Weekday,2,8
332,DORCHESTER AVE @ BANTON ST,FY2018,Weekday,0,8
334,ASHMONT STATION,FY2018,Weekday,"6,207","6,366"
337,DORCHESTER AVE @ MSGR LYDON W,FY2018,Weekday,7,1
338,DORCHESTER AVE @ SHEPTON ST,FY2018,Weekday,7,2
339,DORCHESTER AVE @ KING ST,FY2018,Weekday,5,2
340,DORCHESTER AVE @ CENTRE ST,FY2018,Weekday,4,4
341,DORCHESTER AVE @ DIX ST,FY2018,Weekday,5,1
342,DORCHESTER AVE @ PARKMAN ST,FY2018,Weekday,1,1
343,DORCHESTER AVE @ GIBSON ST,FY2018,Weekday,1,5
345,DORCHESTER AVE OPP CHARLES ST,FY2018,Weekday,7,3
346,DORCHESTER AVE @ ADAMS ST,FY2018,Weekday,6,5
347,DORCHESTER AVE @ KIMBALL ST,FY2018,Weekday,11,18
348,DORCHESTER AVE @ LINDEN ST,FY2018,Weekday,8,6
349,DORCHESTER AVE @ HOYT ST,FY2018,Weekday,3,6
350,DORCHESTER AVE @ DEWAR ST,FY2018,Weekday,0,0
351,DORCHESTER AVE @ SAVIN HILL A,FY2018,Weekday,6,6
352,DORCHESTER AVE @ BELFORT ST,FY2018,Weekday,1,3
353,DORCHESTER AVE @ ROMSEY ST,FY2018,Weekday,4,3
354,DORCHESTER AVE @ CRESCENT AVE,FY2018,Weekday,3,9
355,DORCHESTER AVE @ COLUMBIA RD,FY2018,Weekday,0,3
357,DORCHESTER AVE @ LOCUST ST,FY2018,Weekday,2,4
358,DORCHESTER AVE OPP HOWELL ST,FY2018,Weekday,0,2
359,DORCHESTER AVE @ KEMP ST,FY2018,Weekday, -   ,4
362,COLUMBIA RD @ HOLDEN ST,FY2018,Weekday,173,105
367,TALBOT AVE @ DORCHESTER AVE,FY2018,Weekday,306,17
369,TALBOT AVE @ WELLES AVE,FY2018,Weekday,197,32
371,TALBOT AVE @ CENTRE ST,FY2018,Weekday,550,335
372,TALBOT AVE @ SOUTHERN AVE,FY2018,Weekday,278,59
373,TALBOT AVE @ SPENCER ST,FY2018,Weekday,138,65
374,TALBOT AVE @ NORWELL ST,FY2018,Weekday,119,62
375,TALBOT AVE @ BERNARD ST,FY2018,Weekday,101,96
376,TALBOT AVE @ KERWIN ST,FY2018,Weekday,95,79
378,TALBOT AVE @ NIGHTINGALE ST,FY2018,Weekday,37,145
381,BLUE HILL AVE @ WALES ST,FY2018,Weekday,267,133
382,BLUE HILL AVE @ CHARLOTTE ST,FY2018,Weekday,184,134
383,BLUE HILL AVE @ ELLINGTON ST,FY2018,Weekday,697,482
384,BLUE HILL AVE @ PASADENA RD,FY2018,Weekday,191,96
385,BLUE HILL AVE @ CASTLEGATE RD,FY2018,Weekday,240,293
386,WARREN ST @ SUNDERLAND ST,FY2018,Weekday,571,225
387,WARREN ST @ INTERVALE ST,FY2018,Weekday,240,126
388,WARREN ST @ GASTON ST,FY2018,Weekday,303,170
390,WARREN ST @ QUINCY ST,FY2018,Weekday,651,404
392,WARREN ST @ MAYWOOD ST,FY2018,Weekday,477,402
393,WARREN ST @ WOODBINE ST,FY2018,Weekday,346,186
